"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年8月5日","559.00","557.00","560.00","546.50","10.85M","1.64%"
"2020年8月4日","550.00","546.00","556.50","540.00","20.18M","2.04%"
"2020年8月3日","539.00","536.00","541.50","528.00","18.08M","0.94%"
"2020年7月31日","534.00","540.00","550.00","534.00","15.63M","-0.19%"
"2020年7月30日","535.00","547.00","549.50","532.00","13.70M","-1.20%"
"2020年7月29日","541.50","536.50","542.50","533.00","12.48M","-0.37%"
"2020年7月28日","543.50","535.00","544.50","529.00","21.53M","4.52%"
"2020年7月27日","520.00","530.00","538.00","515.00","18.69M","-1.52%"
"2020年7月24日","528.00","542.00","547.00","525.00","28.14M","-5.21%"
"2020年7月23日","557.00","546.00","557.50","543.00","19.09M","3.34%"
"2020年7月22日","539.00","553.00","563.00","537.50","20.93M","-4.43%"
"2020年7月21日","564.00","548.50","564.00","544.00","29.10M","7.94%"
"2020年7月20日","522.50","521.00","527.50","513.00","12.99M","0.29%"
"2020年7月17日","521.00","519.00","530.00","517.00","17.56M","1.56%"
"2020年7月16日","513.00","539.00","542.00","511.00","27.05M","-5.52%"
"2020年7月15日","543.00","538.50","543.00","530.50","22.17M","3.43%"
"2020年7月14日","525.00","529.00","535.50","517.50","25.84M","-2.96%"
"2020年7月13日","541.00","540.50","556.00","540.00","20.04M","-1.01%"
"2020年7月10日","546.50","549.00","562.00","546.00","23.46M","-2.93%"
"2020年7月9日","563.00","545.00","564.00","544.00","26.07M","3.68%"
"2020年7月8日","543.00","515.50","546.50","515.50","27.61M","5.23%"
"2020年7月7日","516.00","519.00","531.00","512.00","25.22M","-0.77%"
"2020年7月6日","520.00","524.00","529.00","516.00","23.26M","-0.86%"
